start-x,start-y,end-x,end-y,start-time,end-time,car-id,car-type,average-speed
124,111,140,184,2015-05-01 14:12:06,2015-05-01 14:21:27,20152401012401-945,1,37.3475935828877
124,111,140,184,2015-05-01 15:07:01,2015-05-01 15:16:00,20152501012546-952,1,38.871985157699434
138,181,128,175,2015-05-01 16:32:45,2015-05-01 16:34:09,20152501012557-10,2P,41.14285714285714
65,144,115,167,2015-05-01 13:50:57,2015-05-01 14:07:44,20153601013616-849,5,30.673286991062565
138,181,128,175,2015-05-01 16:04:30,2015-05-01 16:06:16,20150801020850-865,2P,32.60377358490566
138,181,128,175,2015-05-01 17:46:15,2015-05-01 17:47:52,20153401033430-345,2P,35.628865979381445
140,184,183,87,2015-05-01 15:41:46,2015-05-01 16:01:30,20154101034146-410,4,34.29729729729729
183,87,140,184,2015-05-01 15:48:09,2015-05-01 16:06:47,20154801034809-529,2,36.32200357781753
65,144,17,67,2015-05-01 16:51:34,2015-05-01 17:05:24,20150101040141-397,2,34.09156626506024
65,144,115,167,2015-05-04 15:17:28,2015-05-04 15:32:01,20154001044056-714,3,35.381443298969074
124,111,140,184,2015-05-02 12:40:48,2015-05-02 12:52:23,20155401045441-227,2,30.146762589928052
65,144,17,67,2015-05-01 18:45:11,2015-05-01 18:56:52,20150101060136-731,4,40.36519258202568
64,25,115,167,2015-05-01 20:01:38,2015-05-01 20:25:43,20152601072603-870,4,30.64359861591695
140,184,183,87,2015-05-01 19:52:06,2015-05-01 20:09:49,20155201075206-349,5,38.201317027281284
65,144,17,67,2015-05-02 00:28:33,2015-05-02 00:41:10,20154301114306-910,1,37.379128137384406
64,25,62,13,2015-05-02 00:40:49,2015-05-02 00:42:17,20151302121334-985,1,34.36363636363636
65,144,17,67,2015-05-02 03:43:47,2015-05-02 03:57:07,20155502025544-979,3,35.37
65,144,115,167,2015-05-02 04:17:27,2015-05-02 04:31:22,20150502040512-565,1,36.99161676646707
65,144,115,167,2015-05-02 06:41:29,2015-05-02 06:55:49,20152802052806-928,3,35.91627906976744
64,25,115,167,2015-05-06 13:27:06,2015-05-06 13:50:46,20152102062100-389,2,31.183098591549292
138,181,128,175,2015-05-02 08:48:45,2015-05-02 08:50:23,20155202065206-711,2P,35.26530612244898
65,144,17,67,2015-05-02 07:23:19,2015-05-02 07:37:52,20150602070649-231,6,32.41237113402062
104,32,183,87,2015-05-02 07:24:28,2015-05-02 07:43:04,20151402071449-545,1,37.54838709677419
65,144,17,67,2015-05-02 07:35:59,2015-05-02 07:49:02,20151602071621-654,5,36.137931034482754
64,25,115,167,2015-05-04 16:24:06,2015-05-04 16:42:52,20154002074031-133,1,39.325044404973355
65,144,115,167,2015-05-02 09:09:45,2015-05-02 09:26:28,20155202075207-398,1,30.795613160518446
183,87,140,184,2015-05-02 07:55:22,2015-05-02 08:13:11,20155502075522-491,5,37.986903648269404
124,111,140,184,2015-05-02 08:50:30,2015-05-02 08:59:49,20151202081232-209,5,37.48121645796064
124,111,140,184,2015-05-02 09:22:07,2015-05-02 09:31:40,20154302084310-559,3,36.565445026178004
69,98,62,13,2015-05-07 22:18:55,2015-05-07 22:30:11,20154702084758-168,1,40.2603550295858
69,98,62,13,2015-05-02 09:23:32,2015-05-02 09:34:43,20150502090541-904,3,40.560357675111774
124,111,140,184,2015-05-09 11:42:57,2015-05-09 11:53:13,20151902111913-640,3,34.01298701298701
64,25,115,167,2015-05-02 12:29:45,2015-05-02 12:52:13,20155602115634-803,1,32.84866468842729
65,144,115,167,2015-05-02 13:28:52,2015-05-02 13:44:56,20150302010312-760,1,32.04149377593361
65,144,115,167,2015-05-06 21:57:08,2015-05-06 22:13:55,20152602012639-340,3,30.673286991062565
48,89,17,67,2015-05-03 10:57:01,2015-05-03 11:03:30,20153002013028-298,3,40.534704370179945
65,144,115,167,2015-05-07 18:30:07,2015-05-07 18:44:54,20151202021230-956,2,34.82299887260429
104,32,183,87,2015-05-04 16:52:12,2015-05-04 17:14:10,20153602023647-120,2,31.793626707132017
65,144,17,67,2015-05-02 15:15:13,2015-05-02 15:29:27,20155302025352-365,1,33.13348946135831
65,144,17,67,2015-05-03 15:23:36,2015-05-03 15:36:38,20152002042015-193,3,36.18414322250639
138,181,128,175,2015-05-02 19:04:03,2015-05-02 19:05:48,20154102044113-988,2P,32.91428571428571
138,181,128,175,2015-05-02 23:11:20,2015-05-02 23:12:43,20154602044612-82,2P,41.63855421686747
64,25,115,167,2015-05-02 18:01:53,2015-05-02 18:20:20,20154802044825-624,3,40.0
62,13,115,167,2015-05-02 19:16:27,2015-05-02 19:37:53,20151602071627-36,2,36.447900466562984
64,25,115,167,2015-05-02 19:51:57,2015-05-02 20:15:13,20151902071923-16,2,31.719197707736388
64,25,115,167,2015-05-02 20:29:03,2015-05-02 20:48:16,20150002080040-921,5,38.40416305290546
140,184,183,87,2015-05-02 20:21:41,2015-05-02 20:40:06,20152102082141-406,2,36.74932126696832
140,184,183,87,2015-05-02 20:30:21,2015-05-02 20:52:46,20153002083021-292,5,30.191821561338287
65,144,17,67,2015-05-02 23:30:33,2015-05-02 23:45:01,20150802110852-346,2,32.59907834101382
124,111,140,184,2015-05-03 00:33:54,2015-05-03 00:44:39,20151003121025-950,1,32.48372093023256
65,144,115,167,2015-05-03 00:31:35,2015-05-03 00:47:51,20151703121720-618,2,31.647540983606554
64,25,62,13,2015-05-03 01:52:07,2015-05-03 01:53:34,20152503012502-560,2,34.758620689655174
115,167,62,13,2015-05-03 02:09:28,2015-05-03 02:33:45,20150903020928-497,2,32.170212765957444
104,32,183,87,2015-05-03 05:08:19,2015-05-03 05:27:31,20154003044005-17,2,36.37499999999999
65,144,17,67,2015-05-03 06:05:09,2015-05-03 06:17:48,20155003055049-24,3,37.28063241106719
124,111,140,184,2015-05-03 06:48:48,2015-05-03 06:59:18,20155403055443-412,2,33.25714285714285
140,184,183,87,2015-05-03 05:57:59,2015-05-03 06:18:34,20155703055759-583,3,32.88097165991903
65,144,17,67,2015-05-03 06:31:39,2015-05-03 06:46:52,20151403061425-243,2,30.99233296823658
140,184,183,87,2015-05-03 06:40:55,2015-05-03 06:58:36,20154003064055-201,3,38.273327049952876
65,144,115,167,2015-05-03 07:04:48,2015-05-03 07:19:28,20155103065157-254,5,35.1
65,144,17,67,2015-05-03 07:17:47,2015-05-03 07:30:42,20155803065823-477,3,36.51096774193548
124,111,140,184,2015-05-12 09:36:56,2015-05-12 09:46:33,20151903071934-939,1,36.31195840554592
104,32,183,87,2015-05-06 08:06:15,2015-05-06 08:23:58,20153603073614-148,1,39.42050799623706
104,32,183,87,2015-05-14 08:05:49,2015-05-14 08:27:27,20154003074050-280,1,32.283513097072415
64,25,115,167,2015-05-03 08:38:19,2015-05-03 08:59:07,20150903080915-957,2,35.480769230769226
64,25,62,13,2015-05-03 09:11:05,2015-05-03 09:12:35,20154303084322-126,1,33.599999999999994
64,25,115,167,2015-05-11 06:40:09,2015-05-11 06:59:14,20151503091545-22,1,38.672489082969435
138,181,128,175,2015-05-03 14:23:21,2015-05-03 14:25:08,20150303100343-74,2P,32.299065420560744
138,181,128,175,2015-05-03 12:30:14,2015-05-03 12:31:38,20153203103200-611,2P,41.14285714285714
62,13,115,167,2015-05-03 10:37:02,2015-05-03 10:59:24,20153703103702-660,1,34.926974664679584
44,64,17,67,2015-05-03 11:12:10,2015-05-03 11:17:55,20153903103918-43,2,36.313043478260866
69,98,62,13,2015-05-03 11:14:35,2015-05-03 11:27:53,20155303105327-375,4,34.10526315789473
65,144,115,167,2015-05-05 19:54:39,2015-05-05 20:10:00,20155803105858-900,2,33.53745928338762
65,144,115,167,2015-05-06 06:56:06,2015-05-06 07:09:39,20150703110736-237,1,37.99261992619926
65,144,17,67,2015-05-03 13:07:25,2015-05-03 13:20:34,20151803121817-229,1,35.86311787072243
124,111,140,184,2015-05-03 15:18:54,2015-05-03 15:29:05,20150403020416-490,1,34.29132569558101
124,111,140,184,2015-05-04 15:48:34,2015-05-04 15:58:42,20153003023054-91,3,34.46052631578947
104,32,183,87,2015-05-06 12:08:12,2015-05-06 12:28:42,20152503032527-873,1,34.068292682926824
115,167,62,13,2015-05-03 15:31:57,2015-05-03 15:54:28,20153103033157-551,4,34.69430051813472
65,144,115,167,2015-05-04 13:28:12,2015-05-04 13:44:41,20153203033246-681,1,31.231547017189083
124,111,140,184,2015-05-05 21:37:19,2015-05-05 21:46:31,20153203033255-977,1,37.95652173913044
65,144,115,167,2015-05-04 18:05:43,2015-05-04 18:21:40,20155003035017-260,1,32.27586206896552
104,32,183,87,2015-05-14 22:31:41,2015-05-14 22:54:47,20155103035116-592,1,30.23376623376623
65,144,17,67,2015-05-03 16:54:08,2015-05-03 17:08:12,20155803035851-140,3,33.5260663507109
138,181,128,175,2015-05-03 19:47:06,2015-05-03 19:48:55,20150803050829-770,2P,31.706422018348622
65,144,17,67,2015-05-03 17:27:21,2015-05-03 17:41:42,20151103051105-693,5,32.864111498257834
64,25,115,167,2015-05-03 18:21:34,2015-05-03 18:44:15,20154803054807-805,1,32.534900808229246
64,25,115,167,2015-05-04 15:53:55,2015-05-04 16:12:51,20155403055431-257,3,38.978873239436616
124,111,140,184,2015-05-03 19:36:04,2015-05-03 19:45:23,20154803064813-28,1,37.48121645796064
124,111,140,184,2015-05-03 19:16:45,2015-05-03 19:28:00,20155203065209-82,2,31.039999999999996
64,25,62,13,2015-05-03 20:41:51,2015-05-03 20:43:25,20151203081248-820,4,32.170212765957444
64,25,62,13,2015-05-03 20:58:23,2015-05-03 20:59:55,20152803082805-619,4,32.869565217391305
140,184,183,87,2015-05-03 20:44:10,2015-05-03 21:03:14,20154403084410-270,3,35.49650349650349
62,13,115,167,2015-05-03 23:59:57,2015-05-04 00:24:50,20155903115957-556,2,31.39450770261219
115,167,62,13,2015-05-04 02:17:45,2015-05-04 02:41:55,20151704021745-210,1,32.32551724137931
104,32,183,87,2015-05-04 03:13:47,2015-05-04 03:31:42,20153704023750-346,6,38.98046511627906
69,98,62,13,2015-05-04 06:07:01,2015-05-04 06:18:26,20154804054851-733,3,39.731386861313865
115,167,62,13,2015-05-04 06:07:47,2015-05-04 06:30:18,20150704060747-94,1,34.69430051813472
104,32,183,87,2015-05-04 07:19:57,2015-05-04 07:41:21,20150804070850-234,6,32.63551401869158
65,144,17,67,2015-05-04 07:42:25,2015-05-04 07:56:24,20152104072125-25,1,33.72586412395709
64,25,62,13,2015-05-04 08:05:25,2015-05-04 08:07:05,20153404073436-211,1,30.240000000000002
104,32,183,87,2015-05-04 09:44:42,2015-05-04 10:06:13,20155304075353-452,3,32.458559256390394
65,144,115,167,2015-05-04 09:25:21,2015-05-04 09:39:08,20151304091319-319,1,37.349455864570736
138,181,128,175,2015-05-04 12:53:45,2015-05-04 12:55:09,20152904102929-831,2P,41.14285714285714
138,181,128,175,2015-05-04 12:56:50,2015-05-04 12:58:27,20153504103546-744,2P,35.628865979381445
124,111,140,184,2015-05-11 08:28:49,2015-05-11 08:38:53,20153604113610-711,3,34.6887417218543
64,25,62,13,2015-05-04 12:25:15,2015-05-04 12:26:56,20155304115351-36,2,29.94059405940594
65,144,115,167,2015-05-08 19:04:11,2015-05-08 19:18:34,20151604011635-266,2,35.79142526071843
104,32,183,87,2015-05-04 14:56:33,2015-05-04 15:16:10,20154304014359-573,1,35.60237892948173
69,98,62,13,2015-05-04 14:19:08,2015-05-04 14:32:30,20155704015750-993,1,33.93516209476309
186,55,183,87,2015-05-08 20:11:26,2015-05-08 20:17:54,20150204020258-450,2,32.845360824742265
65,144,17,67,2015-05-04 15:30:16,2015-05-04 15:43:56,20154004024058-952,4,34.50731707317073
138,181,128,175,2015-05-04 23:55:50,2015-05-04 23:57:33,20155404025425-846,2P,33.55339805825243
64,25,115,167,2015-05-04 16:15:48,2015-05-04 16:35:49,20150604030648-583,1,36.86927560366361
124,111,140,184,2015-05-04 16:15:30,2015-05-04 16:25:19,20155404035404-301,4,35.572156196943965
69,98,62,13,2015-05-06 11:53:19,2015-05-06 12:05:09,20155604035654-479,2,38.332394366197185
104,32,183,87,2015-05-04 16:51:42,2015-05-04 17:11:30,20152204042233-205,5,35.272727272727266
65,144,115,167,2015-05-11 16:46:12,2015-05-11 17:00:42,20150104050128-43,2,35.50344827586207
138,181,128,175,2015-05-04 20:04:57,2015-05-04 20:06:32,20152404052454-27,2P,36.37894736842105
64,25,62,13,2015-05-04 18:45:37,2015-05-04 18:47:09,20151504061538-491,1,32.869565217391305
64,25,115,167,2015-05-04 19:44:32,2015-05-04 20:07:06,20151204071251-825,2,32.703101920236335
65,144,17,67,2015-05-04 20:05:38,2015-05-04 20:20:47,20154804074827-231,2,31.128712871287128
124,111,140,184,2015-05-04 20:49:46,2015-05-04 20:58:59,20150204080227-619,4,37.8878842676311
140,184,183,87,2015-05-04 22:18:23,2015-05-04 22:40:37,20151804101823-786,5,30.440779610194898
69,98,62,13,2015-05-04 23:37:39,2015-05-04 23:49:04,20151904111928-259,1,39.731386861313865
183,87,140,184,2015-05-04 23:29:57,2015-05-04 23:49:15,20152904112957-341,4,35.067357512953365
62,13,115,167,2015-05-05 00:52:10,2015-05-05 01:12:42,20155205125210-970,1,38.04545454545455
69,98,62,13,2015-05-05 01:45:27,2015-05-05 01:58:28,20152405012441-733,2,34.84763124199744
116,151,115,167,2015-05-05 02:55:58,2015-05-05 02:57:55,20150505020522-625,4,31.384615384615383
62,13,115,167,2015-05-05 03:17:03,2015-05-05 03:40:06,20151705031703-749,2,33.891540130151846
124,111,140,184,2015-05-11 22:21:02,2015-05-11 22:32:45,20151805061831-133,1,29.80369843527738
138,181,128,175,2015-05-05 07:19:26,2015-05-05 07:20:52,20152905062953-731,2P,40.1860465116279
150,177,140,184,2015-05-05 07:35:43,2015-05-05 07:37:48,20153305073332-375,1,39.74399999999999
124,111,140,184,2015-05-05 08:43:00,2015-05-05 08:52:32,20155305075355-395,1,36.62937062937063
65,144,17,67,2015-05-05 08:47:26,2015-05-05 09:00:04,20150105080156-835,1,37.329815303430074
124,111,140,184,2015-05-05 08:43:25,2015-05-05 08:53:26,20150205080233-879,2,34.86189683860233
124,111,140,184,2015-05-07 20:30:42,2015-05-07 20:40:16,20152705082700-328,1,36.501742160278745
183,87,140,184,2015-05-05 08:33:06,2015-05-05 08:54:20,20153305083306-650,2,31.874411302982733
65,144,115,167,2015-05-05 09:46:34,2015-05-05 10:00:51,20155705085752-232,1,36.042007001166866
136,137,140,184,2015-05-09 11:40:44,2015-05-09 11:48:07,20150905090932-101,2,29.742663656884872
65,144,17,67,2015-05-05 10:02:12,2015-05-05 10:15:18,20154205094230-49,2,36.0
138,181,128,175,2015-05-05 13:04:57,2015-05-05 13:06:42,20154305094348-630,2P,32.91428571428571
104,32,183,87,2015-05-08 21:20:47,2015-05-08 21:39:25,20154105104122-644,2,37.48121645796064
65,144,115,167,2015-05-05 11:06:11,2015-05-05 11:20:33,20155305105337-96,2,35.83294663573086
150,177,183,87,2015-05-05 13:29:10,2015-05-05 13:47:29,20153105123101-248,1,37.9326660600546
104,32,183,87,2015-05-10 11:33:38,2015-05-10 11:53:43,20155705125721-407,3,34.77510373443983
104,32,183,87,2015-05-05 13:15:10,2015-05-05 13:35:29,20150405010436-416,1,34.37571780147662
64,25,115,167,2015-05-05 13:45:54,2015-05-05 14:08:52,20151305011343-613,3,32.13352685050798
115,167,62,13,2015-05-05 13:37:42,2015-05-05 14:02:01,20153705013742-751,3,32.126113776559286
138,181,128,175,2015-05-05 16:19:49,2015-05-05 16:21:12,20151905021902-720,2P,41.63855421686747
115,167,62,13,2015-05-05 14:34:41,2015-05-05 15:00:21,20153405023441-79,2,30.436363636363637
124,111,140,184,2015-05-09 14:30:08,2015-05-09 14:40:55,20150605040618-478,1,32.38330757341576
69,98,62,13,2015-05-05 17:55:17,2015-05-05 18:08:04,20152105042140-626,1,35.48370273794002
64,25,62,13,2015-05-05 17:10:43,2015-05-05 17:12:29,20153705043758-335,2,28.528301886792452
65,144,17,67,2015-05-05 17:20:19,2015-05-05 17:33:45,20150505050508-318,4,35.106699751861036
140,184,183,87,2015-05-05 17:41:02,2015-05-05 17:58:41,20154105054102-171,1,38.345609065155806
124,111,140,184,2015-05-05 19:11:06,2015-05-05 19:21:01,20152005062002-300,3,35.213445378151256
183,87,140,184,2015-05-05 19:12:01,2015-05-05 19:33:34,20151205071201-727,1,31.406032482598604
62,13,115,167,2015-05-05 20:23:33,2015-05-05 20:45:41,20152305082333-92,2,35.295180722891565
115,167,62,13,2015-05-05 22:19:14,2015-05-05 22:43:49,20151905101914-783,2,31.777627118644066
124,111,140,184,2015-05-05 23:22:15,2015-05-05 23:33:26,20155705105749-356,4,31.22503725782414
62,13,115,167,2015-05-06 01:20:06,2015-05-06 01:40:34,20152006012006-635,2,38.16938110749186
69,98,62,13,2015-05-06 01:39:48,2015-05-06 01:51:09,20152106012143-868,4,39.964757709251096
124,111,140,184,2015-05-06 03:43:15,2015-05-06 03:54:48,20155606025608-621,2,30.23376623376623
104,32,183,87,2015-05-06 04:06:50,2015-05-06 04:28:11,20152406032402-937,5,32.711943793911004
124,111,140,184,2015-05-06 05:06:31,2015-05-06 05:16:39,20152506042502-26,5,34.46052631578947
65,144,17,67,2015-05-09 22:24:16,2015-05-09 22:36:04,20152606062618-786,1,39.96610169491525
104,32,183,87,2015-05-06 08:11:18,2015-05-06 08:31:48,20154106074104-999,1,34.068292682926824
65,144,115,167,2015-05-09 13:37:00,2015-05-09 13:51:04,20154506074517-446,1,36.59715639810426
104,32,183,87,2015-05-06 08:16:50,2015-05-06 08:37:36,20154606074616-822,4,33.63081861958266
65,144,115,167,2015-05-06 08:04:32,2015-05-06 08:18:59,20155106075153-120,4,35.62629757785467
124,111,140,184,2015-05-06 09:14:25,2015-05-06 09:25:33,20155006085003-110,1,31.36526946107784
124,111,140,184,2015-05-06 10:05:39,2015-05-06 10:17:23,20150506090520-357,2,29.761363636363633
64,25,62,13,2015-05-06 10:10:32,2015-05-06 10:12:07,20154106094124-665,2,31.83157894736842
138,181,128,175,2015-05-06 13:04:55,2015-05-06 13:06:29,20155006095026-111,2P,36.76595744680851
150,177,183,87,2015-05-06 10:52:18,2015-05-06 11:11:26,20155106095135-527,2,36.31358885017421
64,25,115,167,2015-05-06 10:42:39,2015-05-06 11:01:40,20151606101600-597,1,38.80806310254163
64,25,115,167,2015-05-06 11:05:56,2015-05-06 11:24:45,20151806101842-841,1,39.220549158547385
124,111,140,184,2015-05-06 12:49:38,2015-05-06 12:58:55,20153006113031-795,2,37.615798922800714
104,32,183,87,2015-05-06 12:07:42,2015-05-06 12:26:01,20154006114047-586,1,38.129208371246584
150,177,140,184,2015-05-06 12:54:22,2015-05-06 12:56:58,20153206123228-826,3,31.846153846153843
65,144,17,67,2015-05-06 13:06:04,2015-05-06 13:20:45,20154406124402-983,2,32.11804767309875
124,111,140,184,2015-05-06 14:00:11,2015-05-06 14:11:24,20150206010230-163,3,31.132243684992567
65,144,17,67,2015-05-06 13:57:42,2015-05-06 14:10:23,20153806013838-97,2,37.18265440210249
65,144,17,67,2015-05-27 13:45:51,2015-05-27 13:58:46,20153906013912-384,2,36.51096774193548
138,181,128,175,2015-05-06 16:30:45,2015-05-06 16:32:35,20154706014752-824,2P,31.418181818181818
65,144,17,67,2015-05-06 15:12:58,2015-05-06 15:27:07,20152106022153-516,1,33.328621908127204
115,167,62,13,2015-05-06 14:58:37,2015-05-06 15:22:37,20155806025837-218,3,32.55
65,144,115,167,2015-05-06 15:15:09,2015-05-06 15:32:04,20150006030021-893,4,30.43152709359606
64,25,62,13,2015-05-06 15:35:23,2015-05-06 15:36:54,20150706030713-770,1,33.230769230769226
136,137,183,87,2015-05-14 13:29:04,2015-05-14 13:43:08,20151006031050-832,1,34.03791469194312
64,25,115,167,2015-05-06 15:56:09,2015-05-06 16:17:08,20151406031406-139,3,35.17077045274027
65,144,17,67,2015-05-06 17:57:03,2015-05-06 18:09:23,20152206042215-304,1,38.23783783783784
104,32,183,87,2015-05-06 17:24:08,2015-05-06 17:42:27,20153606043644-52,1,38.129208371246584
45,68,17,67,2015-05-06 17:04:21,2015-05-06 17:14:53,20155306045344-471,1,38.620253164556964
65,144,17,67,2015-05-06 18:10:07,2015-05-06 18:24:31,20155506045548-864,1,32.75
64,25,115,167,2015-05-06 17:58:45,2015-05-06 18:21:42,20152606052635-272,2,32.15686274509804
65,144,17,67,2015-05-06 18:28:32,2015-05-06 18:40:09,20154506054512-623,1,40.596843615494976
64,25,62,13,2015-05-06 18:48:31,2015-05-06 18:49:55,20152006062054-938,2,36.0
115,167,62,13,2015-05-06 19:10:04,2015-05-06 19:32:58,20151006071004-39,6,34.11353711790393
69,98,62,13,2015-05-06 21:01:54,2015-05-06 21:14:44,20154106084128-953,2,35.345454545454544
65,144,17,67,2015-05-06 23:13:11,2015-05-06 23:26:53,20155206105236-868,3,34.42335766423358
64,25,62,13,2015-05-07 03:57:09,2015-05-07 03:58:57,20152307032352-90,1,28.0
64,25,115,167,2015-05-07 04:37:02,2015-05-07 05:00:53,20150307040337-388,4,30.94339622641509
65,144,17,67,2015-05-07 06:23:06,2015-05-07 06:35:02,20154007054004-20,2,39.5195530726257
64,25,115,167,2015-05-07 13:31:27,2015-05-07 13:52:36,20152507062510-527,1,34.8936170212766
69,98,62,13,2015-05-07 07:38:50,2015-05-07 07:50:45,20151907071951-454,1,38.064335664335665
65,144,115,167,2015-05-07 09:05:21,2015-05-07 09:22:30,20151607081638-405,2,30.017492711370263
69,98,62,13,2015-05-08 15:51:18,2015-05-08 16:03:33,20152807082801-714,1,37.028571428571425
64,25,62,13,2015-05-12 08:35:15,2015-05-12 08:36:53,20154407084406-55,3,30.857142857142858
104,32,183,87,2015-05-07 09:54:19,2015-05-07 10:15:46,20151107091117-166,4,32.55944055944056
183,87,140,184,2015-05-07 10:01:01,2015-05-07 10:18:19,20150107100101-687,1,39.12138728323699
65,144,115,167,2015-05-07 11:21:16,2015-05-07 11:35:12,20151107101114-603,2,36.94736842105263
64,25,62,13,2015-05-07 10:42:56,2015-05-07 10:44:26,20151507101514-517,1,33.599999999999994
65,144,115,167,2015-05-07 10:41:37,2015-05-07 10:55:15,20152907102943-591,2,37.76039119804401
65,144,17,67,2015-05-07 10:56:29,2015-05-07 11:09:02,20153707103738-243,4,37.57768924302788
69,98,62,13,2015-05-12 17:18:27,2015-05-12 17:30:02,20154707104714-7,1,39.159712230215824
65,144,115,167,2015-05-08 13:28:29,2015-05-08 13:42:38,20154807104818-336,1,36.381625441696116
64,25,62,13,2015-05-07 11:39:24,2015-05-07 11:40:55,20150907110929-382,2,33.230769230769226
62,13,115,167,2015-05-07 11:11:43,2015-05-07 11:36:35,20151107111143-376,6,31.415549597855225
69,98,62,13,2015-05-11 16:55:02,2015-05-11 17:06:50,20151807111855-648,3,38.440677966101696
44,64,17,67,2015-05-08 08:45:13,2015-05-08 08:51:01,20152907112958-34,2,36.0
65,144,115,167,2015-05-07 14:02:07,2015-05-07 14:17:36,20152607012617-339,3,33.248654467169004
64,25,115,167,2015-05-09 19:21:47,2015-05-09 19:41:08,20153507023544-222,1,38.13953488372093
104,32,183,87,2015-05-07 15:32:48,2015-05-07 15:50:55,20152307032323-592,3,38.55013799448022
124,111,140,184,2015-05-07 16:49:09,2015-05-07 17:00:38,20155007035002-321,2,30.40928882438316
104,32,183,87,2015-05-07 16:39:41,2015-05-07 16:58:18,20150207040220-935,6,37.51477170993733
69,98,62,13,2015-05-11 21:02:49,2015-05-11 21:17:30,20151807041812-701,1,30.892167990919408
138,181,128,175,2015-05-07 20:37:46,2015-05-07 20:39:23,20152007042003-474,2P,35.628865979381445
64,25,115,167,2015-05-12 19:23:01,2015-05-12 19:43:07,20150207050247-410,3,36.71641791044775
115,167,62,13,2015-05-07 17:09:46,2015-05-07 17:34:18,20150907050946-464,4,31.842391304347824
64,25,115,167,2015-05-13 12:11:53,2015-05-13 12:34:18,20151507051530-305,1,32.921933085501855
140,184,183,87,2015-05-07 18:00:03,2015-05-07 18:19:59,20150007060003-154,1,33.953177257525084
104,32,183,87,2015-05-07 18:20:57,2015-05-07 18:40:34,20151007061047-838,2,35.60237892948173
183,87,140,184,2015-05-07 18:35:38,2015-05-07 18:53:00,20153507063538-340,1,38.97120921305182
124,111,140,184,2015-05-07 19:04:19,2015-05-07 19:15:28,20153907063956-520,4,31.318385650224215
62,13,115,167,2015-05-07 19:10:43,2015-05-07 19:32:03,20151007071043-113,4,36.61875
65,144,17,67,2015-05-07 21:17:01,2015-05-07 21:28:49,20153307083303-133,1,39.96610169491525
65,144,17,67,2015-05-07 22:36:13,2015-05-07 22:51:25,20154107094120-553,2,31.026315789473678
115,167,62,13,2015-05-07 22:20:54,2015-05-07 22:43:36,20152007102054-496,4,34.414096916299556
